date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M_RANGE,WS10M,WD10M,WS10M_MAX,WS10M_MIN
2003-01-01,14.94,11.23,13.08,14.91,11.73,21.51,9.78,8.23,80.32,0.05,101.39,5.04,3.15,346.0,5.41,0.37
2003-01-02,16.02,10.83,13.42,16.18,15.79,24.62,8.83,7.98,74.34,0.0,101.68,2.03,2.39,356.3,3.45,1.42
2003-01-03,17.92,11.46,14.69,17.67,16.0,26.74,10.74,8.34,69.5,0.0,101.58,2.54,2.11,16.4,3.11,0.57
2003-01-04,18.17,11.72,14.94,17.65,11.54,25.41,13.87,8.48,68.35,0.0,101.42,2.44,1.92,305.4,3.17,0.73
2003-01-05,15.69,9.31,12.5,15.56,12.92,22.93,10.01,7.22,69.14,0.0,101.56,1.98,2.87,303.0,3.99,2.01
2003-01-06,15.91,10.27,13.09,15.94,13.7,23.61,9.91,7.7,71.13,0.0,101.72,1.51,2.74,345.7,3.51,2.0
2003-01-07,15.76,10.34,13.05,16.07,14.76,23.95,9.19,7.74,72.98,0.0,101.57,1.69,2.77,320.6,3.46,1.77
2003-01-08,14.98,8.87,11.93,15.26,13.47,22.57,9.1,7.01,69.5,0.0,101.55,1.61,2.58,330.1,3.36,1.75
2003-01-09,14.3,7.53,10.92,14.51,14.29,22.31,8.02,6.39,66.16,0.0,101.72,1.25,3.1,344.5,3.59,2.34
2003-01-10,14.5,8.19,11.35,14.91,15.21,22.94,7.73,6.68,69.4,0.0,101.66,2.95,2.3,334.6,3.5,0.55
2003-01-11,14.66,8.23,11.44,14.76,12.96,22.25,9.29,6.7,68.13,0.01,101.68,1.6,2.85,342.0,3.53,1.93
2003-01-12,15.0,9.21,12.11,15.34,14.7,22.86,8.16,7.16,71.25,0.0,101.71,1.67,2.73,335.8,3.45,1.78
2003-01-13,15.52,8.72,12.13,15.72,13.33,23.46,10.13,6.93,66.94,0.0,101.65,1.82,2.69,340.6,3.68,1.86
2003-01-14,15.13,6.93,11.03,15.16,13.46,23.57,10.11,6.13,61.02,0.0,101.68,1.79,3.2,331.7,3.89,2.1
2003-01-15,15.44,7.99,11.72,15.44,16.47,24.77,8.3,6.59,65.72,0.0,101.78,1.32,2.77,345.2,3.48,2.16
2003-01-16,16.09,8.99,12.54,16.01,16.74,25.09,8.35,7.05,67.04,0.0,101.68,2.03,2.2,337.2,3.02,0.99
2003-01-17,17.3,8.6,12.95,16.5,14.21,25.55,11.34,6.86,59.42,0.0,101.73,2.68,1.85,0.0,3.18,0.5
2003-01-18,17.75,8.95,13.35,17.07,15.28,26.65,11.37,7.02,59.43,0.0,101.77,2.24,2.33,341.0,3.59,1.35
2003-01-19,17.56,8.63,13.1,17.31,15.93,26.8,10.87,6.89,59.1,0.0,101.58,1.71,2.6,322.1,3.65,1.94
2003-01-20,16.21,6.39,11.3,16.25,15.83,25.27,9.44,5.94,56.18,0.0,101.48,1.42,3.14,320.7,3.53,2.11
2003-01-21,14.89,3.43,9.16,14.39,15.79,23.83,8.04,4.83,49.35,0.0,101.39,1.35,2.86,318.4,3.66,2.31
2003-01-22,14.76,2.8,8.78,13.79,14.47,22.77,8.3,4.61,47.03,0.0,101.28,1.78,2.2,326.3,2.93,1.15
2003-01-23,15.44,3.4,9.42,13.84,12.08,22.69,10.61,4.83,45.92,0.0,101.11,2.02,1.63,347.9,2.38,0.36
2003-01-24,15.78,5.39,10.58,14.92,16.07,24.31,8.24,5.55,52.81,0.0,100.99,1.68,2.34,77.6,3.12,1.44
2003-01-25,15.96,6.66,11.31,15.71,15.88,24.73,8.85,6.04,57.57,0.0,101.24,2.39,2.44,43.7,3.4,1.01
2003-01-26,16.45,7.62,12.04,16.11,13.91,24.1,10.19,6.45,58.5,0.0,101.36,1.76,2.46,20.8,3.11,1.35
